model_id,downloads,likes,library,tags,created_at,last_modified,private
Qwen/Qwen3-0.6B,19369646,1221,transformers,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure",2025-04-27T03:40:08.000Z,,False
openai-community/gpt2,16037172,3226,transformers,"transformers, pytorch, tf, jax, tflite, rust, onnx, safetensors, gpt2, text-generation, exbert, en",2022-03-02T23:29:04.000Z,,False
Qwen/Qwen2.5-7B-Instruct,13784608,1253,transformers,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071, arxiv:2407.10671, base_model:Qwen/Qwen2.5-7B, base_model:finetune:Qwen/Qwen2.5-7B, license:apache-2.0",2024-09-16T11:55:40.000Z,,False
deepseek-ai/DeepSeek-V3.2,11349614,1427,transformers,"transformers, safetensors, deepseek_v32, text-generation, conversational, base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base, base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base, license:mit, eval-results, endpoints_compatible, fp8, region:us",2025-12-01T02:34:49.000Z,,False
Qwen/Qwen3-4B-Instruct-2507,10691206,829,transformers,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, eval-results, text-generation-inference, endpoints_compatible, deploy:azure, region:us",2025-08-05T10:58:03.000Z,,False
Qwen/Qwen3-8B,10018533,1071,transformers,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B-Base, base_model:finetune:Qwen/Qwen3-8B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible",2025-04-27T03:42:21.000Z,,False
meta-llama/Llama-3.1-8B-Instruct,9566721,5781,transformers,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr",2024-07-18T08:56:00.000Z,,False
Qwen/Qwen2.5-1.5B-Instruct,9335502,684,transformers,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-1.5B, base_model:finetune:Qwen/Qwen2.5-1.5B, license:apache-2.0, text-generation-inference",2024-09-17T14:10:29.000Z,,False
Qwen/Qwen2.5-3B-Instruct,9207977,450,transformers,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-3B, base_model:finetune:Qwen/Qwen2.5-3B, license:other, text-generation-inference",2024-09-17T14:08:52.000Z,,False
facebook/opt-125m,7912032,249,transformers,"transformers, pytorch, tf, jax, opt, text-generation, en, arxiv:2205.01068, arxiv:2005.14165, license:other, text-generation-inference, deploy:azure",2022-05-11T08:25:17.000Z,,False
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,7254558,6,transformers,"transformers, safetensors, qwen2, text-generation, trl, conversational, text-generation-inference, endpoints_compatible, region:us",2024-11-25T15:06:15.000Z,,False
openai/gpt-oss-20b,6945686,4581,transformers,"transformers, safetensors, gpt_oss, text-generation, vllm, conversational, arxiv:2508.10925, license:apache-2.0, eval-results, endpoints_compatible, 8-bit, mxfp4",2025-08-04T22:33:29.000Z,,False
meta-llama/Llama-3.2-1B-Instruct,6171370,1392,transformers,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr",2024-09-18T15:12:47.000Z,,False
Qwen/Qwen2.5-0.5B-Instruct,6145130,507,transformers,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-0.5B, base_model:finetune:Qwen/Qwen2.5-0.5B, license:apache-2.0, text-generation-inference",2024-09-16T11:52:46.000Z,,False
Qwen/Qwen3-1.7B,5186179,454,transformers,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-1.7B-Base, base_model:finetune:Qwen/Qwen3-1.7B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure",2025-04-27T03:41:05.000Z,,False
Qwen/Qwen3-32B,4833719,692,transformers,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",2025-04-27T03:52:59.000Z,,False
dphn/dolphin-2.9.1-yi-1.5-34b,4703591,62,transformers,"transformers, safetensors, llama, text-generation, generated_from_trainer, axolotl, conversational, dataset:cognitivecomputations/Dolphin-2.9, dataset:teknium/OpenHermes-2.5, dataset:m-a-p/CodeFeedback-Filtered-Instruction, dataset:cognitivecomputations/dolphin-coder, dataset:cognitivecomputations/samantha-data",2024-05-18T04:50:56.000Z,,False
openai/gpt-oss-120b,4182452,4753,transformers,"transformers, safetensors, gpt_oss, text-generation, vllm, conversational, arxiv:2508.10925, license:apache-2.0, eval-results, endpoints_compatible, 8-bit, mxfp4",2025-08-04T22:33:06.000Z,,False
Qwen/Qwen2-1.5B-Instruct,3934301,162,transformers,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",2024-06-03T09:08:12.000Z,,False
deepseek-ai/DeepSeek-R1,3871385,13317,transformers,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, arxiv:2501.12948, license:mit, eval-results, text-generation-inference, endpoints_compatible, fp8",2025-01-20T03:46:07.000Z,,False
Qwen/Qwen3-4B,3752620,606,transformers,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-4B-Base, base_model:finetune:Qwen/Qwen3-4B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible",2025-04-27T03:41:29.000Z,,False
meta-llama/Meta-Llama-3-8B,3359030,6529,transformers,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, en, license:llama3, text-generation-inference, endpoints_compatible",2024-04-17T09:35:16.000Z,,False
EleutherAI/pythia-160m,3161098,41,transformers,"transformers, pytorch, safetensors, gpt_neox, text-generation, causal-lm, pythia, en, dataset:EleutherAI/pile, arxiv:2304.01373, arxiv:2101.00027, arxiv:2201.07311",2023-02-08T19:25:46.000Z,,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3139784,1575,transformers,"transformers, safetensors, llama, text-generation, conversational, en, dataset:cerebras/SlimPajama-627B, dataset:bigcode/starcoderdata, dataset:HuggingFaceH4/ultrachat_200k, dataset:HuggingFaceH4/ultrafeedback_binarized, license:apache-2.0, text-generation-inference",2023-12-30T06:27:30.000Z,,False
Qwen/Qwen3-14B,3134602,390,transformers,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-14B-Base, base_model:finetune:Qwen/Qwen3-14B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible",2025-04-27T03:42:45.000Z,,False
Qwen/Qwen3-Coder-30B-A3B-Instruct,2737865,1039,transformers,"transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2505.09388, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",2025-07-31T07:04:55.000Z,,False
distilbert/distilgpt2,2679668,625,transformers,"transformers, pytorch, tf, jax, tflite, rust, coreml, safetensors, gpt2, text-generation, exbert, en",2022-03-02T23:29:04.000Z,,False
Qwen/Qwen2.5-14B-Instruct,2632581,331,transformers,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071, arxiv:2407.10671, base_model:Qwen/Qwen2.5-14B, base_model:finetune:Qwen/Qwen2.5-14B, license:apache-2.0",2024-09-16T11:56:10.000Z,,False
hmellor/tiny-random-LlamaForCausalLM,2520091,0,transformers,"transformers, safetensors, llama, text-generation, conversational, arxiv:1910.09700, text-generation-inference, endpoints_compatible, region:us",2025-04-29T21:47:13.000Z,,False
mistralai/Mistral-7B-Instruct-v0.2,2321227,3129,transformers,"transformers, pytorch, safetensors, mistral, text-generation, finetuned, mistral-common, conversational, arxiv:2310.06825, license:apache-2.0, text-generation-inference, deploy:azure",2023-12-11T13:18:44.000Z,,False
openai-community/gpt2-large,2311923,348,transformers,"transformers, pytorch, tf, jax, rust, onnx, safetensors, gpt2, text-generation, en, arxiv:1910.09700, license:mit",2022-03-02T23:29:04.000Z,,False
